artiId;artiNombre;fechaIni;fuenId;fuenNombre;futiId;maximoKg;minimoKg;promedioKg
90;Aguacate papelillo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4800;4300;4533
57;Ahuyama;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1200;1000;1033
266;Carne de res, pecho;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
267;Carne de res, punta de anca;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;18000;17000;17333
79;Limón común valluno;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;2800;2900
141;Pera importada;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6316;6053;6228
61;Ajo importado;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;11500;11200;11400
283;Alas de pollo con costillar;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;5400;5200;5300
268;Carne de res, sobrebarriga;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
336;Lomitos de atún en lata;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;29375;28503;28876
116;Lulo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3600;3000;3300
289;Pierna pernil con rabadilla;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;5000;4500;4833
69;Pimentón;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2286;1714;2000
195;Arracacha amarilla;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2800;2400;2587
201;Arroz de primera;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3520;3360;3427
19;Cebolla cabezona blanca bogotana;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;833;729;785
30;Cebolla junca Aquitania;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2500;2400;2483
82;Mandarina Arrayana;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2700;2600;2633
144;Piña gold;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2200;2000;2083
354;Chocolate amargo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;22692;22500;22608
